College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
GITAM Institute of Management ,Andhra pradesh,Management,"2,10,000","3,96,000",8.5,8.6,7.3,8.8,9.2,8.4,8.7
"Krea University, Sri City ",Andhra pradesh,Management,"13,86,000",--,8.6,8.2,8.6,8.7,8.6,8.8,8.8
Indian Institute of Management Visakhapatnam ,Andhra pradesh,Management,"14,33,250","16,50,000",8.9,8.8,9,9,8.8,8.8,8.8
GEMS B School ,Andhra pradesh,Management,"2,50,000","3,60,000",9.1,9.5,8.5,9.5,9,9,9
Sri Venkateswara University ,Andhra pradesh,Management,"23,200",--,8.1,7.9,8.3,8.2,7.9,7.7,8.4
"SRM University, Amaravathi ",Andhra pradesh,Management,"2,60,000","2,95,000",8.7,8.7,8.1,9.2,9.2,8.4,8.4
Indian Institute of Tourism and Travel Management ,Andhra pradesh,Management,"1,08,850","1,88,600",8.4,9.3,8.5,9,8.2,8,7.5
Integral Institute of Advanced Management ,Andhra pradesh,Management,"1,60,000",--,6.9,7.2,4.4,7.6,7.2,7.2,8
"Risali Institute of Management, Visakhapatnam ",Andhra pradesh,Management,--,--,8.4,8.2,8.3,8.3,8.8,8.4,8.4
"Sree Vidyanikethan Institute of Management, Tirupati ",Andhra pradesh,Management,"74,000",--,8.6,8.6,8.4,8.7,8.7,8.1,8.8
Accord Business School ,Andhra pradesh,Management,"45,000",--,--,--,--,--,--,--,--
VIT-AP School of Business ,Andhra pradesh,Management,"2,75,000","43,000",8.1,8.8,8.3,8.3,7.8,7.8,7.8
Nimra College of Business Management ,Andhra pradesh,Management,"34,000",--,7.5,9,5,9,--,--,--
"Wings Business School, Tirupati ",Andhra pradesh,Management,"50,000",--,6.8,6.6,7.2,6.5,6.5,6.9,7.1
Sun International Institute for Tourism & Management- ,Andhra pradesh,Management,"1,30,500","1,60,500",7.9,8.4,7.3,7.5,7.8,8.5,7.7
Satya Institute of Management Studies ,Andhra pradesh,Management,"41,100",--,--,--,--,--,--,--,--
Sanskrithi School of Business ,Andhra pradesh,Management,"31,500",--,8.5,7.5,5.5,--,--,--,--
Rajiv Gandhi Institute of Management and Science ,Andhra pradesh,Management,"30,000",--,7.8,8.5,6.8,8.5,7.5,6.8,8.5
Emeralds Degree and PG College ,Andhra pradesh,Management,"28,000","79,000",8.6,9.3,8.3,8.6,9.5,7,8.6
Ambedkar Institute of Management Studies ,Andhra pradesh,Management,"1,10,000",--,--,--,--,--,--,--,--
"DNR School of Business Management, Bhimavaram ",Andhra pradesh,Management,"27,000",--,--,--,--,--,--,--,--
Dr. K. V Subba Reddy Institute of ,Andhra pradesh,Management,"34,500",--,8.3,9,9,8.8,7.8,7.5,7.8
Srinivasa Institute of Management Studies ,Andhra pradesh,Management,"35,000",--,--,--,--,--,--,--,--
Sri Krishnadevaraya Institute of Management ,Andhra pradesh,Management,"10,000",--,6,6,--,--,--,--,--
T. A. Pai Management Institute ,Karnataka,Management,"7,55,000",--,8.5,8.5,8.4,8.8,8.6,8.7,7.8
Jagdish Sheth School of Management ,Karnataka,Management,"12,00,000","3,20,000",7.3,7.6,6.4,7.9,7.1,7,7.6
Prin. L.N. Welingkar Institute of Management Development ,Karnataka,Management,"5,50,000",--,8.1,8.7,7.8,8.6,7.9,7.9,7.9
SDM Institute for Management Development ,Karnataka,Management,"2,86,000","11,20,000",8.6,8.6,8.9,8.4,9.3,7.6,8.6
Xavier Institute of Management and Entrepreneurship ,Karnataka,Management,"3,00,000",--,8,8.1,8.1,8.2,7.8,8.1,7.6
Indus Business Academy ,Karnataka,Management,"4,81,000",--,7.3,6.9,6.7,7.5,7.1,7.9,7.4
"AIMS Institutes, Bangalore ",Karnataka,Management,"2,28,000","9,00,000",7.3,7.8,6.6,8.1,6.5,7.2,7.3
Kristu Jayanti College ,Karnataka,Management,"80,000","25,000",8.4,8.9,7.7,8.4,8.9,8.1,8.5
Kirloskar Institute of Advanced Management Studies ,Karnataka,Management,"10,75,000",--,7.8,7.8,7.6,8.1,7.8,8,7.7
RV Institute of Management ,Karnataka,Management,"75,000",--,8,8.4,6.6,8.6,8.4,7.8,8.3
International School of Business and Research ,Karnataka,Management,"9,00,000","1,00,000",7.7,7.9,7.3,8,7.5,7.5,8.2
St Aloysius Institute of Management and Information ,Karnataka,Management,"2,60,000",--,7.5,7.5,6.8,7.7,7.4,7.9,7.6
KLS Gogte Institute of Technology ,Karnataka,Management,"1,08,000",--,8.2,8.4,7.3,8.4,8.6,8,8.6
Agriculture and Food Management Institute ,Karnataka,Management,"1,65,000",--,--,--,--,--,--,--,--
Dayananda Sagar College of Mangaement and Information ,Karnataka,Management,"63,750",--,7.3,8,4,9,8,7,7.5
Adarsh Institute of Management and Information Technology ,Karnataka,Management,"5,00,000",--,7.8,7.7,7.5,8.8,7.8,7.2,7.9
Bharatesh Education Trust's Global Business School ,Karnataka,Management,"1,11,000",--,8.1,8,7.7,8.7,8.3,7.7,8.3
"Presidency University, School of Management, Bangalore ",Karnataka,Management,"1,65,000","3,25,000",7.4,7,5.7,9,9,6.3,--
"The Oxford College of Business Management, Bangalore ",Karnataka,Management,"50,000","70,000",6.6,7,6.2,7.8,7,5.8,5.9
KLS Institute of Management Education & Research ,Karnataka,Management,"2,10,000",--,8.9,9.5,8,9.3,9.5,9,8.3
Indian Academy Group of Institutions ,Karnataka,Management,"2,77,000","5,19,000",7.9,8.6,7.6,8.5,7.5,7.8,7.6
T John College ,Karnataka,Management,"88,700","2,67,700",8,8.1,7.8,8.1,8.5,7.6,7.8
Indian School of Business ,Telangana,Management,"10,20,000","47,00,000",9.3,8.9,9.4,9.6,9.6,9.3,9.2
ICFAI Foundation for Higher Education ,Telangana,Management,"2,50,000","7,00,000",8.2,8.3,7.5,8.1,8.6,7.8,8.9
ICFAI Business School ,Telangana,Management,"7,10,000","2,60,000",8.2,8.2,8,8.1,8.5,7.8,8.7
Woxsen School of Business ,Telangana,Management,"3,05,000","6,95,000",8.3,8.1,8.1,8.6,8.4,8.2,8.3
National Institute of Agricultural Extension Management ,Telangana,Management,"8,25,000","7,000",8.6,8.8,7.8,8.9,8.4,9,8.7
Institute of Public Enterprise ,Telangana,Management,"4,55,000","3,80,000",8.3,8.1,7.6,8.9,9,7.8,8.3
"Aurora's Business School Panjagutta, Hyderabad ",Telangana,Management,"2,70,000",--,6.6,6.4,6.2,7.2,6.5,6.7,6.8
Dhruva College of Management ,Telangana,Management,"6,55,000",--,9,9.1,9.4,8.9,9.7,8.4,8.4
ICBM School of Business Excellence ,Telangana,Management,"5,76,000",--,7.9,8,7.4,8.4,7.7,8.1,7.6
Vignana Jyothi Institute of Management ,Telangana,Management,"4,50,000","7,50,000",8.4,8.5,7.9,8.7,8.6,8.3,8.5
CMR College of Engineering & Technology ,Telangana,Management,"50,000",--,8.2,8.5,8,8.1,8.6,8.3,7.9
"Aristotle Post Graduate College, Hyderabad ",Telangana,Management,"40,000",--,8,8.2,7.6,9,7.6,7.6,8
"St Joseph's Degree and PG College, Hyderabad ",Telangana,Management,"54,000",--,7.8,8.2,6.4,8.4,7.5,8,8.1
"ITM Business School, Warangal ",Telangana,Management,"2,70,000",--,7.4,7.2,7.1,7.6,6.9,7.9,7.5
"Amjad Ali Khan College of Business Administration, ",Telangana,Management,"27,000",--,8.4,8.9,7.6,9.1,8.4,7.9,8.6
Siva Sivani Institute of Management ,Telangana,Management,"6,60,000","6,22,038",7.4,7.6,7.2,7.6,7.3,7.3,7.5
Symbiosis International University ,Telangana,Management,"6,80,000",--,8.9,9,8.7,9,8.9,9,8.8
National Institute of Rural Development and Panchayati ,Telangana,Management,"10,500",--,8.5,8.8,8.3,8.5,8.3,8.6,8.2
National Institute of Construction Management and Research ,Telangana,Management,"10,59,100",--,7.5,7.2,7.1,7.5,7.2,8.1,7.6
Vishwa Vishwani Institute of Systems and Management ,Telangana,Management,"3,70,000","3,70,000",7.7,7.5,7.1,8,7.9,7.9,7.8
Institute of Insurance and Risk Management ,Telangana,Management,"3,20,000","2,70,000",8.1,7.9,7.7,8.4,8,8.2,8.3
Indian Institute of Management and Commerce ,Telangana,Management,"52,500",--,7.7,8.3,5.3,8.6,7.5,8.1,8.3
Hyderabad School of Business ,Telangana,Management,"63,000","1,13,300",7.7,8,7.3,8.3,7.7,7.4,7.5
Pendekanti Institute of Management ,Telangana,Management,"92,000",--,8,8.4,6,8.5,8.4,7.8,8.8
Indian Institute of Forest Management ,Madhya pradesh,Management,"6,24,000","6,24,000",9,9,9.1,9,9.3,8.5,9.1
Prestige Institute of Management and Research ,Madhya pradesh,Management,"52,000","1,46,500",7.9,8.2,7,8.4,7.3,7.7,8.5
"Jaipuria Institute of Management, Indore ",Madhya pradesh,Management,"3,95,000",--,8.4,8.4,7.8,8.5,8.9,8.3,8.6
Prestige Institute of Management ,Madhya pradesh,Management,"36,000","80,000",6.1,7,5,6,6,6.3,6.5
Institute of Business Management & Research ,Madhya pradesh,Management,"1,15,000",--,8.4,8.3,8,8.6,9,7.8,8.9
People's Institute of Management & Research ,Madhya pradesh,Management,"30,000","70,000",--,--,--,--,--,--,--
Shri Vaishnav Institute of Management ,Madhya pradesh,Management,"42,120","73,620",8.1,8.6,7.1,8.7,8,7.5,8.6
CH Institute of Management & Commerce ,Madhya pradesh,Management,"12,000","58,000",7.2,8,7,7,8.3,6.3,6.7
Vidyasagar Institute of Management ,Madhya pradesh,Management,"43,100",--,--,--,--,--,--,--,--
"SAGE University, Indore ",Madhya pradesh,Management,"70,000","70,000",8.7,8.7,7.9,8.8,9.2,8.5,9
"Jagran LakeCity Business School, Bhopal ",Madhya pradesh,Management,"1,35,000","1,75,000",8.1,7.9,9,--,8.3,7.3,--
Rabindranath Tagore University ,Madhya pradesh,Management,"50,000","90,000",7.7,8,7.4,7.8,8.6,6.4,7.8
"ITM University, Gwalior ",Madhya pradesh,Management,"1,50,000","70,000",7.6,7.9,7,7.6,8.1,7.2,8
Narsee Monjee Institute of Management Studies -[NMIMS ,Madhya pradesh,Management,"2,52,000","7,27,000",8.7,8.4,8.9,9.7,9.2,6.2,9.6
Institute of Professional Education and Research ,Madhya pradesh,Management,"62,450","1,03,000",8.5,9,7.5,9,8.2,8,9.2
"Institute of Management Studies, Devi Ahilya Vishwavidyalaya ",Madhya pradesh,Management,"63,600","59,211",7.7,8.1,6.9,8.1,7.1,7.7,8.1
Rajagiri Centre for Business Studies ,Kerala,Management,"7,00,000",--,7.7,7.3,7.5,7.9,7.5,8.1,7.7
"SCMS Cochin School of Business, Cochin ",Kerala,Management,"3,75,000",--,7.5,8,8.1,7.4,8.3,7.2,6.1
Saintgits Institute of Management ,Kerala,Management,"2,27,000",--,8.7,8.7,8,9,8.7,8.8,8.7
Nehru College of Engineering and Research Centre ,Kerala,Management,"40,000",--,6.7,7,6.3,6.7,7.8,5.3,6.8
SCMS School of Technology and Management ,Kerala,Management,"3,60,000",--,7.8,7.9,7.7,8.4,7.5,8.3,7.2
"Lead College of Management, Palakkad ",Kerala,Management,"7,00,000",--,7.6,7.3,7.6,7.8,7.4,7.9,7.8
Farook Institute of Management Studies ,Kerala,Management,"1,70,000",--,8.9,9,9,9,9.1,8.1,8.9
Berchmans Institute of Management Studies ,Kerala,Management,"2,85,000",--,7.6,7.3,7,8,8.8,6.8,7.5
Holy Grace Academy of Management Studies ,Kerala,Management,"1,28,000",--,8.5,8.7,8.3,8.3,8.5,8.2,9
"MES College Marampally, Aluva ",Kerala,Management,--,--,8.8,8.9,8.4,9.1,9.3,8,9
"Jain University, Kochi ",Kerala,Management,--,--,8.7,8.6,8.1,9.1,8.7,8.8,8.9
Rajagiri Business School ,Kerala,Management,"12,30,500","3,25,000",8.2,8.4,7.4,8.1,8.9,7.5,9
"Albertian Institute of Management- [AIM], Cochin ",Kerala,Management,"1,90,376",--,8,8,6.5,8.8,8.8,7.8,8.2
Yuvakshetra Institute of Management Studies ,Kerala,Management,"96,000",--,6.9,7.7,5.8,6.8,8,6.5,6.7
"IIKM Business School, Calicut ",Kerala,Management,"90,000","3,85,000",8.2,7.7,8,8,8.7,8.7,8
"Naipunnya School of Management, Cherthala ",Kerala,Management,"18,000",--,7.5,7.4,6.8,8.1,7.8,7.6,7.3
State Institute of Hospitality Management ,Kerala,Management,"30,000","30,000",7.8,8.5,6.8,8,7.3,8.8,7.3
Kochi Business School ,Kerala,Management,"3,20,000","2,50,000",7.7,7.7,7.3,7.8,7.5,7.9,7.9
Amrita School of Business ,Kerala,Management,"6,60,000",--,9.4,9.7,9,--,--,--,--
Mar Athanasios College for Advanced Studies Tiruvalla ,Kerala,Management,"96,600",--,8.7,9.3,9.3,8.6,8.8,8,8.4
Bhavan's Royal Institute of Management ,Kerala,Management,"1,63,000",--,7.7,8,7.5,7.4,6.7,7.9,8.4
"Don Bosco College Sulthan Bathery, Wayanad ",Kerala,Management,"38,600","45,000",7.9,8.3,6.8,8.5,8.3,6.8,8.5
Girideepam Institute of Advanced Learning ,Kerala,Management,"89,000",--,7.2,8.4,5.4,8.6,7,6.6,7.3
Indian School of Business Management and Administration ,Kerala,Management,"14,900","95,900",9.2,9.7,9.7,9.3,9.3,9,8.3
"Jaipuria Institute of Management, Jaipur ",Rajasthan,Management,"4,40,000",--,7.8,8.1,6.7,8,7.7,8.1,8
Institute of Rural Management ,Rajasthan,Management,"3,70,000",--,5.3,6,3.8,5.5,3.8,6.3,6.3
International School of Informatics and Management ,Rajasthan,Management,"32,000",--,7.8,8.3,7,8.2,7.1,7.9,8.1
Institute of Agri Business Management ,Rajasthan,Management,"1,71,960",--,7.8,8.3,7.8,8.3,8.3,6.8,7.5
"Jaipur National University, School of Business & ",Rajasthan,Management,"68,700","2,50,000",8.1,8.4,8,9,7.4,7.6,8.3
"Poddar Management and Technical Campus, Jaipur ",Rajasthan,Management,"2,00,000",--,8.5,--,--,--,--,--,--
University of Rajasthan ,Rajasthan,Management,"5,440","23,300",7.6,8.1,7.1,8.1,7.9,6.5,7.8
Taxila Business School ,Rajasthan,Management,"4,55,000","1,60,000",8.3,8.6,7.6,9,7.8,8.6,8.1
"University Business School, Panjab University ",Haryana,Management,"25,660",--,8.3,8.1,8.4,8.4,7.9,8.1,8.7
"University School of Business, Chandigarh University ",Haryana,Management,"1,05,000","1,95,000",9.1,9.1,8.8,9.1,9.2,9.3,8.9
"IBMR Business School, Gurgaon ",Haryana,Management,"2,97,000","5,75,000",8,8.3,7.8,8.2,7.8,8,7.8
Tilak Raj Chadha Institute of Management & ,Haryana,Management,"40,540","76,900",8.1,8.3,7.2,8.8,7.2,8.5,8.8
"Great Learning, Gurgaon ",Haryana,Management,"2,25,000","3,00,000",7.7,7.5,6,8.6,8,8.4,7.8
BML Munjal University ,Haryana,Management,"5,25,000","2,72,000",8.1,8,8,7.9,8.5,7.8,8.3
O. P. Jindal Global University ,Haryana,Management,"5,50,000","1,20,000",8.3,8.4,8.2,8.3,8.8,7.5,8.7
Great Lakes Institute of Management ,Haryana,Management,"14,01,000","14,01,000",8.5,8.7,8.2,8.5,8.8,8.6,8.4
National Institute of Financial Management ,Haryana,Management,"15,00,000",--,8.8,9.3,9,8.7,8.1,8.1,9.4
"NIILM University, Kaithal ",Haryana,Management,"2,40,000","40,000",8.1,8.6,7.9,8.5,7.9,7.8,8.1
"Institute of Management, Nirma university, Ahmedabad ",Gujarat,Management,"5,02,000","58,500",8.6,8.3,8.5,8.8,9,8.3,8.7
ITM Vocational University ,Gujarat,Management,"62,000","57,000",7.8,8.7,7.4,8,7.5,7.1,7.9
Maharaja Sayajirao University of Baroda ,Gujarat,Management,"23,100","21,660",7.9,8.3,7,8.4,8,7.2,8.4
S. V. Institute of Management ,Gujarat,Management,"97,000",--,7.8,8.2,7.3,8.6,7.6,7.2,8.1
Marwadi University ,Gujarat,Management,"67,000","1,20,000",8.3,8.2,8.3,8.2,9.1,7.7,8.2
MICA ,Gujarat,Management,"21,00,000","70,000",9,8.8,9,9,9.1,8.8,9.1
"GLS University, Ahmedabad ",Gujarat,Management,"1,22,000","50,000",7.9,8,6.9,8.5,8.1,7.6,8.5
Karnavati University ,Gujarat,Management,"1,80,000","1,44,000",8.9,8.6,8.2,9.3,9.4,8.6,9.3
Children's University ,Gujarat,Management,"1,500",--,8.1,8.3,7.7,8.8,7.7,7.4,8.5
"Sumandeep Vidyapeeth, Vadodara ",Gujarat,Management,"70,200","80,000",7.8,8,7,8.2,8,7.5,8
"Atmiya University, Rajkot ",Gujarat,Management,"92,650","21,300",8.1,8.8,7.5,8.6,8.4,7.4,7.9
"Ahmedabad Management Association, Ahmedabad ",Gujarat,Management,"40,000","40,000",8.6,9.2,8.3,8.8,8.6,8.1,8.3
"B K School of Business Management, Ahmedabad ",Gujarat,Management,"15,000","10,000",7.9,8.3,6.8,8.2,7.4,8.3,8.1
"Chitkara University, Chitkara Business School ",Punjab,Management,"2,12,000","2,83,000",8.5,8.9,7.4,8.5,9.1,8.5,8.6
"PCTE Group of Institutes, Ludhiana ",Punjab,Management,"55,550","97,350",7.7,8,7.2,8,8,6.8,8.3
Chandigarh Business School of Administration ,Punjab,Management,"49,900","92,000",8,8,7.4,8.1,8,8.4,8.3
Baba Farid College of Management and Technology ,Punjab,Management,"1,08,700",--,8.3,8.4,8.3,8.4,8.3,7.9,8.4
"GNA University, Phagwara ",Punjab,Management,"54,000","1,67,400",7.7,8,7.6,7.9,7.8,7.2,7.7
"Adesh University, Bathinda ",Punjab,Management,"90,000","1,37,500",8.6,8.8,8.8,8.5,9,8.3,8.3
"Sri Aurobindo College of Commerce and Management, ",Punjab,Management,"77,000",--,7.1,8.9,6.8,8.8,6.9,3.7,7.3
LM Thapar School of Management ,Punjab,Management,"4,15,860","4,80,000",7.9,7.7,8.1,8,7.9,7.7,7.8
Global Institute of Management ,Punjab,Management,"46,850","80,750",--,--,--,--,--,--,--
Malout Institute of Management and Information Technology ,Punjab,Management,"44,950","90,549",7.7,8,7.8,7.4,8.3,6.4,8
Punjab College of Technical Education ,Punjab,Management,"51,250","96,650",8,7.7,8.1,7.9,8.3,7.1,8.8
Global Institute of Management and Emerging Technologies ,Punjab,Management,--,--,7.4,7.6,7,7.7,8.4,6.3,7.3
"UEI Global, Ludhiana ",Punjab,Management,"1,10,000","35,000",8.4,8.2,8.2,8.3,8.3,9,8.5
Rayat Institute of Management ,Punjab,Management,"46,850","80,750",9.3,--,--,--,--,--,--
Synetic Business School ,Punjab,Management,"46,250","90,000",7.4,6.3,--,--,7.7,8.3,--
Cordia Institutes of Hospitality and Tourism Management ,Punjab,Management,"62,850",--,--,--,--,--,--,--,--
Cordia Business School ,Punjab,Management,"35,000","85,000",--,--,--,--,--,--,--
Vinod Gupta School of Management ,West bengal,Management,"6,00,000","10,000",8.9,9,8.7,8.8,9.1,8.7,9.1
"International Management Institute- [IMI], Kolkata ",West bengal,Management,"6,27,950","1,02,000",8.6,8.8,8.4,8.7,8.9,8.6,8.3
Indian Institute of Social Welfare and Business ,West bengal,Management,"2,55,000","35,000",7.7,8.6,6.5,8.3,6.9,8,8
Calcutta Business School ,West bengal,Management,"3,50,000",--,8.5,8.4,8.6,8.4,8.4,8.8,8.5
Eastern Institute for Integrated Learning In Management ,West bengal,Management,"2,70,000","6,50,000",7.5,7.6,6.6,7.5,7.4,8.1,7.6
Bhartiya Vidya Bhavan Institute of Management Science ,West bengal,Management,"1,06,000","5,51,000",8,8.5,6.8,8.8,8.2,7.4,8.3
Institute of Management Study ,West bengal,Management,"55,000","2,60,000",7.3,7.8,6.4,7.7,7.6,7.3,6.8
"Brainware University, Kolkata ",West bengal,Management,"3,37,200","1,00,000",7.9,8.3,7.6,7.9,8.2,7.8,7.3
St. Xavier's University ,West bengal,Management,"5,55,000","1,32,000",8.4,8.7,8,8.3,8.9,7.8,8.4
"Praxis Business School, Kolkata ",West bengal,Management,"3,89,000",--,8.6,9.3,8,9,8.3,8.7,8
"Goenka College of Commerce and Business Administration, ",West bengal,Management,--,--,7.8,8.9,6.1,8.6,7.5,7.5,8.1
Globsyn Business School ,West bengal,Management,"7,95,000","14,000",8.1,8.4,7.7,8.1,8.1,8,8
Army Institute of Management ,West bengal,Management,"4,26,144",--,8.9,8.7,9,8.8,8.5,9,9.1
Bengal Institute of Business Studies ,West bengal,Management,"3,66,400",--,7.3,7.3,6.6,7.9,7.1,7.7,7.1
Indian Maritime University ,West bengal,Management,"2,00,000",--,8.1,8.4,7.8,8.4,7.6,8.2,8.3
The Heritage Academy ,West bengal,Management,"1,26,850",--,8.3,8.8,7.9,8.6,8.8,6.7,8.7
National Institute of Management ,West bengal,Management,"1,14,000","82,000",8.5,8.4,7.4,8.8,8.7,8.7,8.9
"Inspiria Knowledge Campus, Siliguri ",West bengal,Management,"1,25,000",--,8.1,8.1,7.4,8.4,8.6,8,8.2
International School of Hospitality Management ,West bengal,Management,"2,42,000",--,8.8,8.6,8.6,9,8.7,8.9,9.2
KIIT School of Management ,Orissa,Management,"2,80,000","4,60,000",8.7,8.9,8.5,8.7,9.4,8.2,8.2
Institute of Management and Information Science ,Orissa,Management,"2,58,000",--,8.2,8.7,8.3,8.5,7.8,8,7.8
Gandhi Institute of Management Studies ,Orissa,Management,"1,46,000",--,6.4,7,5.5,6.6,7.9,5,6.5
"Astha School of Management, Bhubaneswar ",Orissa,Management,"1,60,000",--,9,9.1,8.6,9.3,9.4,8.6,9.1
Xavier Institute of Management ,Orissa,Management,"10,80,000","15,50,000",8.2,8.3,7.9,8.5,8.3,7.9,8.4
Kalinga Institute of Industrial Technology ,Orissa,Management,"3,59,000","2,25,000",8.6,8.4,8.1,8.2,9.2,8.6,9
KIIT School of Rural Management ,Orissa,Management,"7,59,000",--,9.1,9.5,8.9,9.2,9.2,9,8.6
Sri Sri University ,Orissa,Management,"3,51,890","1,21,890",7.1,7.3,6.7,7,7.3,6.3,8.2
"Khallikote University -[KUB], Berhampur ",Orissa,Management,"24,700",--,8.6,8.6,8.1,8.7,9,8.2,8.7
Birla Global University ,Orissa,Management,"1,60,000","1,20,000",8.3,8.8,8.1,7.8,8.8,8.1,8.4
Siksha 'O' Anusandhan University ,Orissa,Management,"3,00,000","1,00,000",8.3,8.6,7.6,8.3,8.7,8,8.5
"Srusti Academy of Management, Bhubaneswar ",Orissa,Management,"48,450","1,36,950",8.1,8.3,7.7,8.6,8.2,7.3,8.3
Rourkela Institute of Management Studies ,Orissa,Management,"47,500","1,12,000",9,9.2,8.8,9.7,9.5,8.3,8.6
NIIS Institute of Information Science & Management ,Orissa,Management,"1,55,000","1,15,000",9,9.2,8.7,9.2,9.2,9,8.7
"NIIS Institute of Business Administration, Bhubaneswar ",Orissa,Management,"1,10,000",--,7.4,7.8,7.5,7.8,7,7.8,6.3
United School of Business Management ,Orissa,Management,"1,14,000",--,8.6,9,8,9,8.3,8.3,9
Madhusudan Institute of Cooperative Management ,Orissa,Management,"51,000",--,5.5,7,6.5,8,4,3.5,4
DAV School of Business Management ,Orissa,Management,"80,000",--,7.8,8.4,7.1,8.6,7.9,6.1,8.5
Attitude Business School ,Orissa,Management,"3,00,000",--,--,--,--,--,--,--,--
Institute of Professional Studies and Research ,Orissa,Management,"65,000","95,000",7.4,7.9,7.6,8.5,7.1,6,7.5
College of IT & Management Education ,Orissa,Management,"1,03,500",--,8.1,9.6,5.2,9.6,8.6,7.2,8.2
"Department of Management Studies, Indian Institute of ",Uttarakhand,Management,"4,09,680","14,680",8.9,8.9,8.7,8.9,9.3,9.1,8.4
IMS Unison University ,Uttarakhand,Management,"2,72,726","1,79,200",8.2,8.2,8,8.5,8.5,7.5,8.2
Doon Business School ,Uttarakhand,Management,"2,53,000","1,81,500",7.6,8,7,8.1,7.4,7.4,7.7
Roorkee Institute of Technology ,Uttarakhand,Management,"1,22,000",--,8.5,8.5,8.5,8.6,8.7,8.4,8.5
"Uttaranchal Institute of Management, Dehradun ",Uttarakhand,Management,"82,000","1,48,000",6.8,6.8,5.5,6.8,7.8,5.5,8.3
"Uttaranchal University, Dehradun ",Uttarakhand,Management,"1,79,200","1,55,000",7.5,7.8,6.8,7.7,8.6,6.5,7.5
Shri Guru Ram Rai University ,Uttarakhand,Management,"61,300","94,400",7.6,7.8,7.1,7.9,7.9,7.3,7.7
UPES Centre for Continuing Education ,Uttarakhand,Management,"72,500","36,250",7.9,8.7,8,8,8,7.3,7.3
Academy of Management Studies ,Uttarakhand,Management,"1,00,650","54,000",--,--,--,--,--,--,--
Institute of Clinical Research ,Uttarakhand,Management,"2,00,000",--,--,--,--,--,--,--,--
College of Agribusiness Management ,Uttarakhand,Management,"5,39,328",--,7,7,6,7,8,8,6
"Nimbus Academy of Management- [NAM], Dehradun ",Uttarakhand,Management,"50,000","1,00,000",8.4,8.4,7.8,8.8,8.4,8.2,8.7
Quantum School of Business ,Uttarakhand,Management,"67,000","1,47,000",7.2,7.2,7.1,7.1,6.9,7.1,7.5
Dev Bhoomi Institute of Management Studies ,Uttarakhand,Management,"79,200",--,9,9,--,--,9,9,--
Greenway Institute of Management Studies ,Uttarakhand,Management,--,--,6.1,7,5.5,6.5,6.5,4,7
"BRD College of Management and Sciences, Dehradun ",Uttarakhand,Management,"50,000",--,--,--,--,--,--,--,--
Selaqui Institute of Management ,Uttarakhand,Management,"1,43,000",--,--,--,--,--,--,--,--
Himalayan School of Management Studies ,Uttarakhand,Management,"1,49,400","1,86,000",8.7,--,--,--,--,--,--
"Sai Business and Media School, Dehradun ",Uttarakhand,Management,"72,600","92,600",--,--,--,--,--,--,--
"Loyola College, Chennai ",Tamil nadu,Science,"16,790","85,250",8.6,8.7,8.2,8.3,8.9,8.4,8.8
Madras Christian College ,Tamil nadu,Science,"24,500",--,8.6,8.5,7.9,8.6,8.7,8.4,9.2
"Presidency College, Chennai ",Tamil nadu,Science,"1,270",930,8.2,8.8,7.3,8.9,8.1,7.6,8.6
"Stella Maris College, Chennai ",Tamil nadu,Science,"22,895","15,000",8.2,8.8,7.5,8.6,8.4,7.6,8.5
"PSG College of Arts and Science, Coimbatore ",Tamil nadu,Science,"7,000","10,000",8.3,8.5,7.9,8.2,8.5,8.2,8.7
"PSGR Krishnammal College for Women, Coimbatore ",Tamil nadu,Science,"1,761","2,258",8.8,9.1,8.3,8.6,8.9,8.7,9
"Ethiraj College for Women, Chennai ",Tamil nadu,Science,"10,056",--,8.1,8.5,7.3,8.2,7.9,7.9,8.6
"Scott Christian College, Nagercoil ",Tamil nadu,Science,--,--,8.4,8.3,8,8.7,8.8,7.9,8.4
Women's Christian College ,Tamil nadu,Science,"40,914","65,264",8.7,9,7.9,8.8,9.1,8.5,8.9
"Government Arts College (Autonomous), Coimbatore ",Tamil nadu,Science,"1,375",935,7.7,8.8,6.7,8.5,7.4,6.3,8.6
"Thiagarajar College, Madurai ",Tamil nadu,Science,"40,170","26,555",7.5,7.9,7.1,8,7.1,7.2,7.9
"St. Joseph's College, Tiruchirappalli ",Tamil nadu,Science,"8,930",--,8.6,9.1,7.9,8.7,9.1,8,8.8
"Queen Mary's College, Chennai ",Tamil nadu,Science,622,"1,532",7.6,7.9,6.9,8.3,6.8,7.6,8.2
Bishop Heber College ,Tamil nadu,Science,"33,600","91,140",8.3,8.5,7.8,8.2,8.9,8.1,8.4
Ayya Nadar Janaki Ammal College ,Tamil nadu,Science,"20,525","26,550",8,8.5,7.7,8.4,8.5,6.8,7.8
"Kongunadu Arts and Science College, Coimbatore ",Tamil nadu,Science,"40,000","38,000",7.3,8,6.7,8.3,7.3,6.3,7
"M.O.P. Vaishnav College for Women, Chennai ",Tamil nadu,Science,--,--,8.5,8.7,8.1,8.7,8.4,8.3,9
"CMS College of Science and Commerce, Coimbatore ",Tamil nadu,Science,"42,000",--,8.2,8.3,7.4,8.1,8.5,8,8.7
